Iterada; 353; 50; 0; 488; 1875; 491; 0.1
Iterada; 2500; 50; 1; 1924; 6232; 2857; 0.1
Iterada; 2500; 50; 2; 1787; 6272; 2947; 0.1
Iterada; 353; 50; 3; 253; 1894; 520; 0.1
Iterada; 31; 10; 4; 30; 316; 260; 0.1
Iterada; 2500; 50; 5; 1764; 6293; 3210; 0.1
Iterada; 89; 20; 6; 62; 597; 347; 0.1
Iterada; 100; 10; 7; 52; 521; 757; 0.1
Iterada; 31; 10; 8; 40; 350; 287; 0.1
Iterada; 89; 20; 9; 64; 599; 343; 0.1
Iterada; 100; 10; 0; 22229; 508; 594; 0.1
Iterada; 31; 10; 1; 5939; 335; 188; 0.1
Iterada; 31; 10; 2; 105624; 351; 256; 0.1
Iterada; 31; 10; 0; 45; 607; 314; 0.1
Iterada; 89; 20; 1; 51; 602; 324; 0.1
Iterada; 89; 20; 2; 44; 648; 368; 0.1
Iterada; 100; 10; 3; 34; 494; 542; 0.1
Iterada; 400; 20; 4; 177; 1459; 1334; 0.1
Iterada; 353; 50; 5; 78; 1904; 644; 0.1
Iterada; 89; 20; 6; 18; 637; 345; 0.1
Iterada; 89; 20; 7; 23; 572; 282; 0.1
Iterada; 31; 10; 8; 17; 319; 229; 0.1
Iterada; 100; 10; 9; 19; 509; 601; 0.1
Iterada; 2500; 50; 0; 4878; 40787; 2986; 0.1
Iterada; 31; 10; 1; 253; 8236; 203; 0.1
Iterada; 353; 50; 2; 607; 15068; 534; 0.1
Iterada; 353; 50; 3; 620; 15446; 521; 0.1
Iterada; 400; 20; 4; 441; 10723; 1236; 0.1
Iterada; 31; 10; 5; 238; 7680; 230; 0.1
Iterada; 2500; 50; 6; 4610; 41197; 2898; 0.1
Iterada; 100; 10; 7; 144; 4188; 567; 0.1
Iterada; 100; 10; 8; 147; 4608; 654; 0.1
Iterada; 100; 10; 9; 147; 4506; 680; 0.1
Iterada; 100; 10; 0; 599; 11530; 966; 0.9
Iterada; 353; 50; 1; 1991; 49092; 970; 0.9
Iterada; 353; 50; 2; 1732; 48358; 978; 0.9
Iterada; 31; 10; 3; 186; 9223; 382; 0.9
Iterada; 353; 50; 4; 1748; 48396; 859; 0.9
Iterada; 89; 20; 5; 346; 16227; 512; 0.9
Iterada; 353; 50; 6; 1809; 49136; 798; 0.9
Iterada; 89; 20; 7; 379; 17162; 606; 0.9
Iterada; 2500; 50; 8; 15676; 119808; 3780; 0.9
Iterada; 89; 20; 9; 370; 17363; 616; 0.9
